Player_match_SK,PlayerMatch_key,Match_Id,Player_Id,Player_Name,DOB,Batting_hand,Bowling_skill,Country_Name,Role_Desc,Player_team,Opposit_Team,Season_year,Age_As_on_match
12694,33598700006,335987,6,R Dravid,01-11-1973,Right-hand bat,Right-arm offbreak,India,Captain,Royal Challengers Bangalore,Kolkata Knight Riders,2008,35
12695,33598700007,335987,7,W Jaffer,2/16/1978,Right-hand bat,Right-arm offbreak,India,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,30
12696,33598700008,335987,8,V Kohli,11-05-1988,Right-hand bat,Right-arm medium,India,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,20
12697,33598700009,335987,9,JH Kallis,10/16/1975,Right-hand bat,Right-arm fast-medium,South Africa,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,33
12698,33598700010,335987,10,CL White,8/18/1983,Right-hand bat,Legbreak googly,Australia,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,25
12699,33598700011,335987,11,MV Boucher,12-03-1976,Right-hand bat,Right-arm medium,South Africa,Keeper,Royal Challengers Bangalore,Kolkata Knight Riders,2008,32
12700,33598700012,335987,12,B Akhil,10-07-1977,Right-hand bat,Right-arm medium-fast,India,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,31
12701,33598700013,335987,13,AA Noffke,4/30/1977,Right-hand bat,Right-arm fast-medium,Australia,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,31
12702,33598700014,335987,14,P Kumar,10-02-1986,Right-hand bat,Right-arm medium,India,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,22
12703,33598700015,335987,15,Z Khan,10-07-1978,Right-hand bat,Left-arm fast-medium,India,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,30
12704,33598700016,335987,16,SB Joshi,06-06-1970,Left-hand bat,Slow left-arm orthodox,India,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,38
12705,33598700001,335987,1,SC Ganguly,07-08-1972,Left-hand bat,Right-arm medium,India,Captain,Kolkata Knight Riders,Royal Challengers Bangalore,2008,36
12706,33598700002,335987,2,BB McCullum,9/27/1981,Right-hand bat,Right-arm medium,New Zealand,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,27
12707,33598700003,335987,3,RT Ponting,12/19/1974,Right-hand bat,Right-arm medium,Australia,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,34
12708,33598700004,335987,4,DJ Hussey,7/15/1977,Right-hand bat,Right-arm offbreak,Australia,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,31
12709,33598700005,335987,5,Mohammad Hafeez,10/17/1980,Right-hand bat,Right-arm offbreak,Pakistan,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,28
12710,33598700062,335987,62,WP Saha,10/24/1984,Right-hand bat,N/A,India,Keeper,Kolkata Knight Riders,Royal Challengers Bangalore,2008,24
12711,33598700063,335987,63,LR Shukla,05-06-1981,Right-hand bat,Right-arm medium,India,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,27
12712,33598700082,335987,82,AB Agarkar,12-04-1977,Right-hand bat,Right-arm fast,India,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,31
12713,33598700083,335987,83,M Kartik,09-11-1976,Left-hand bat,Slow left-arm orthodox,India,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,32
12714,33598700084,335987,84,I Sharma,09-02-1988,Right-hand bat,Right-arm fast-medium,India,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,20
12715,33598700106,335987,106,AB Dinda,3/25/1984,Right-hand bat,Right-arm medium-fast,India,Player,Kolkata Knight Riders,Royal Challengers Bangalore,2008,24
12716,33598800024,335988,24,K Goel,12/24/1986,Left-hand bat,Right-arm offbreak,India,Player,Kings XI Punjab,Chennai Super Kings,2008,22
12717,33598800025,335988,25,JR Hopes,10/24/1978,Right-hand bat,Right-arm medium,Australia,Player,Kings XI Punjab,Chennai Super Kings,2008,30
12718,33598800026,335988,26,KC Sangakkara,10/27/1977,Left-hand bat,Right-arm offbreak,Sri Lanka,Keeper,Kings XI Punjab,Chennai Super Kings,2008,31
12719,33598800027,335988,27,Yuvraj Singh,12-12-1981,Left-hand bat,Slow left-arm orthodox,India,Captain,Kings XI Punjab,Chennai Super Kings,2008,27
12720,33598800028,335988,28,SM Katich,8/21/1975,Left-hand bat,Slow left-arm chinaman,Australia,Player,Kings XI Punjab,Chennai Super Kings,2008,33
12721,33598800029,335988,29,IK Pathan,10/27/1984,Left-hand bat,Left-arm medium-fast,India,Player,Kings XI Punjab,Chennai Super Kings,2008,24
12722,33598800066,335988,66,B Lee,11-08-1976,Right-hand bat,Right-arm fast,Australia,Player,Kings XI Punjab,Chennai Super Kings,2008,32
12723,33598800067,335988,67,PP Chawla,12/24/1988,Left-hand bat,Legbreak,India,Player,Kings XI Punjab,Chennai Super Kings,2008,20
12724,33598800068,335988,68,WA Mota,9/20/1981,Right-hand bat,Right-arm medium,India,Player,Kings XI Punjab,Chennai Super Kings,2008,27
12725,33598800077,335988,77,S Sreesanth,02-06-1983,Right-hand bat,Right-arm fast-medium,India,Player,Kings XI Punjab,Chennai Super Kings,2008,25
12726,33598800466,335988,466,P Dharmani,9/27/1974,Right-hand bat,N/A,India,Player,Kings XI Punjab,Chennai Super Kings,2008,34
12727,33598800017,335988,17,PA Patel,03-09-1985,Left-hand bat,N/A,India,Player,Chennai Super Kings,Kings XI Punjab,2008,23
12728,33598800018,335988,18,ML Hayden,10/29/1971,Left-hand bat,Right-arm medium,Australia,Player,Chennai Super Kings,Kings XI Punjab,2008,37
12729,33598800019,335988,19,MEK Hussey,5/27/1975,Left-hand bat,Right-arm medium,Australia,Player,Chennai Super Kings,Kings XI Punjab,2008,33
12730,33598800020,335988,20,MS Dhoni,07-07-1981,Right-hand bat,Right-arm medium,India,CaptainKeeper,Chennai Super Kings,Kings XI Punjab,2008,27
12731,33598800021,335988,21,SK Raina,11/27/1986,Left-hand bat,Right-arm offbreak,India,Player,Chennai Super Kings,Kings XI Punjab,2008,22
12732,33598800022,335988,22,JDP Oram,7/28/1978,Left-hand bat,Right-arm fast-medium,New Zealand,Player,Chennai Super Kings,Kings XI Punjab,2008,30
12733,33598800023,335988,23,S Badrinath,8/30/1980,Right-hand bat,Right-arm offbreak,India,Player,Chennai Super Kings,Kings XI Punjab,2008,28
12734,33598800119,335988,119,Joginder Sharma,10/23/1983,Right-hand bat,Right-arm fast-medium,India,Player,Chennai Super Kings,Kings XI Punjab,2008,25
12735,33598800120,335988,120,MS Gony,01-04-1984,Right-hand bat,Right-arm medium,India,Player,Chennai Super Kings,Kings XI Punjab,2008,24
12736,33598800121,335988,121,M Muralitharan,4/17/1972,Right-hand bat,Right-arm offbreak,Sri Lanka,Player,Chennai Super Kings,Kings XI Punjab,2008,36
12737,33598800435,335988,435,P Amarnath,06-01-1982,Right-hand bat,Right-arm medium,India,Player,Chennai Super Kings,Kings XI Punjab,2008,26
